Year:year,Value:number,Polutant:text
1750,278.0,CO2 (ppm)
1755,278.0,CO2 (ppm)
1760,278.0,CO2 (ppm)
1765,278.0,CO2 (ppm)
1770,278.6,CO2 (ppm)
1775,279.3,CO2 (ppm)
1780,280.1,CO2 (ppm)
1785,280.8,CO2 (ppm)
1790,281.6,CO2 (ppm)
1795,282.3,CO2 (ppm)
1800,282.9,CO2 (ppm)
1805,283.4,CO2 (ppm)
1810,283.8,CO2 (ppm)
1815,284.0,CO2 (ppm)
1820,284.2,CO2 (ppm)
1825,284.3,CO2 (ppm)
1830,284.4,CO2 (ppm)
1835,283.8,CO2 (ppm)
1840,283.4,CO2 (ppm)
1845,283.9,CO2 (ppm)
1850,284.7,CO2 (ppm)
1855,285.4,CO2 (ppm)
1860,286.2,CO2 (ppm)
1865,286.9,CO2 (ppm)
1870,287.5,CO2 (ppm)
1875,288.7,CO2 (ppm)
1880,290.7,CO2 (ppm)
1885,293.0,CO2 (ppm)
1890,294.2,CO2 (ppm)
1895,294.8,CO2 (ppm)
1900,295.8,CO2 (ppm)
1905,297.6,CO2 (ppm)
1910,299.7,CO2 (ppm)
1915,301.4,CO2 (ppm)
1920,303.0,CO2 (ppm)
1925,305.0,CO2 (ppm)
1930,307.2,CO2 (ppm)
1935,309.4,CO2 (ppm)
1940,310.4,CO2 (ppm)
1945,310.1,CO2 (ppm)
1950,310.7,CO2 (ppm)
1955,313.0,CO2 (ppm)
1959,315.98,CO2 (ppm)
1960,316.91,CO2 (ppm)
1961,317.64,CO2 (ppm)
1962,318.45,CO2 (ppm)
1963,318.99,CO2 (ppm)
1964,319.62,CO2 (ppm)
1965,320.04,CO2 (ppm)
1966,321.37,CO2 (ppm)
1967,322.18,CO2 (ppm)
1968,323.05,CO2 (ppm)
1969,324.62,CO2 (ppm)
1970,325.68,CO2 (ppm)
1971,326.32,CO2 (ppm)
1972,327.46,CO2 (ppm)
1973,329.68,CO2 (ppm)
1974,330.19,CO2 (ppm)
1975,331.13,CO2 (ppm)
1976,332.03,CO2 (ppm)
1977,333.84,CO2 (ppm)
1978,335.41,CO2 (ppm)
1979,336.84,CO2 (ppm)
1980,338.76,CO2 (ppm)
1981,340.12,CO2 (ppm)
1982,341.48,CO2 (ppm)
1983,343.15,CO2 (ppm)
1984,344.87,CO2 (ppm)
1985,346.35,CO2 (ppm)
1986,347.61,CO2 (ppm)
1987,349.31,CO2 (ppm)
1988,351.69,CO2 (ppm)
1989,353.20,CO2 (ppm)
1990,354.45,CO2 (ppm)
1991,355.70,CO2 (ppm)
1992,356.54,CO2 (ppm)
1993,357.21,CO2 (ppm)
1994,358.96,CO2 (ppm)
1995,360.97,CO2 (ppm)
1996,362.74,CO2 (ppm)
1997,363.88,CO2 (ppm)
1998,366.84,CO2 (ppm)
1999,368.54,CO2 (ppm)
2000,369.71,CO2 (ppm)
2001,371.32,CO2 (ppm)
2002,373.45,CO2 (ppm)
2003,375.98,CO2 (ppm)
2004,377.70,CO2 (ppm)
2005,379.98,CO2 (ppm)
2006,382.09,CO2 (ppm)
2007,384.02,CO2 (ppm)
2008,385.83,CO2 (ppm)
2009,387.64,CO2 (ppm)
2010,390.10,CO2 (ppm)
2011,391.85,CO2 (ppm)
2012,394.06,CO2 (ppm)
2013,396.74,CO2 (ppm)
2014,398.81,CO2 (ppm)
2015,401.01,CO2 (ppm)
2016,404.41,CO2 (ppm)
2017,406.76,CO2 (ppm)
2018,408.72,CO2 (ppm)
2019,411.66,CO2 (ppm)
2020,414.24,CO2 (ppm)
2021,416.45,CO2 (ppm)
2022,418.56,CO2 (ppm)
1750,719.01,CH4 (ppb)
1755,719.97,CH4 (ppb)
1760,720.93,CH4 (ppb)
1765,723.71,CH4 (ppb)
1770,726.5,CH4 (ppb)
1775,730.53,CH4 (ppb)
1780,734.57,CH4 (ppb)
1785,739.29,CH4 (ppb)
1790,744.01,CH4 (ppb)
1795,747.4,CH4 (ppb)
1800,750.8,CH4 (ppb)
1805,755.45,CH4 (ppb)
1810,760.11,CH4 (ppb)
1815,764.92,CH4 (ppb)
1820,769.73,CH4 (ppb)
1825,774.54,CH4 (ppb)
1830,779.35,CH4 (ppb)
1835,784.21,CH4 (ppb)
1840,789.06,CH4 (ppb)
1845,795.24,CH4 (ppb)
1850,801.42,CH4 (ppb)
1855,808.5,CH4 (ppb)
1860,815.59,CH4 (ppb)
1865,823.38,CH4 (ppb)
1870,831.18,CH4 (ppb)
1875,839.33,CH4 (ppb)
1880,847.48,CH4 (ppb)
1885,857.35,CH4 (ppb)
1890,867.22,CH4 (ppb)
1895,878.76,CH4 (ppb)
1900,890.3,CH4 (ppb)
1905,912.07,CH4 (ppb)
1910,935.46,CH4 (ppb)
1915,961.48,CH4 (ppb)
1920,990.23,CH4 (ppb)
1925,1020.2,CH4 (ppb)
1930,1049.05,CH4 (ppb)
1935,1076.54,CH4 (ppb)
1940,1102.4,CH4 (ppb)
1945,1128.83,CH4 (ppb)
1950,1161.73,CH4 (ppb)
1955,1207.03,CH4 (ppb)
1960,1262.97,CH4 (ppb)
1965,1328.47,CH4 (ppb)
1970,1403.19,CH4 (ppb)
1975,1483.57,CH4 (ppb)
1978,1532.77,CH4 (ppb)
1979,1549.53,CH4 (ppb)
1980,1566.28,CH4 (ppb)
1981,1583.48,CH4 (ppb)
1982,1600.69,CH4 (ppb)
1983,1617.89,CH4 (ppb)
1984,1644.69,CH4 (ppb)
1985,1657.28,CH4 (ppb)
1986,1670.08,CH4 (ppb)
1987,1682.71,CH4 (ppb)
1988,1693.19,CH4 (ppb)
1989,1704.54,CH4 (ppb)
1990,1714.42,CH4 (ppb)
1991,1724.90,CH4 (ppb)
1992,1735.51,CH4 (ppb)
1993,1736.49,CH4 (ppb)
1994,1742.06,CH4 (ppb)
1995,1748.81,CH4 (ppb)
1996,1751.46,CH4 (ppb)
1997,1754.54,CH4 (ppb)
1998,1765.54,CH4 (ppb)
1999,1772.39,CH4 (ppb)
2000,1773.37,CH4 (ppb)
2001,1771.24,CH4 (ppb)
2002,1772.69,CH4 (ppb)
2003,1777.32,CH4 (ppb)
2004,1777.03,CH4 (ppb)
2005,1774.14,CH4 (ppb)
2006,1774.97,CH4 (ppb)
2007,1781.39,CH4 (ppb)
2008,1787.01,CH4 (ppb)
2009,1793.54,CH4 (ppb)
2010,1798.89,CH4 (ppb)
2011,1803.11,CH4 (ppb)
2012,1808.03,CH4 (ppb)
2013,1813.40,CH4 (ppb)
2014,1822.61,CH4 (ppb)
2015,1834.25,CH4 (ppb)
2016,1843.15,CH4 (ppb)
2017,1849.67,CH4 (ppb)
2018,1857.31,CH4 (ppb)
2019,1866.59,CH4 (ppb)
2020,1878.95,CH4 (ppb)
2021,1895.29,CH4 (ppb)
2022,1911.84,CH4 (ppb)
1750,270.0,N2O (ppb)
1755,270.3,N2O (ppb)
1760,270.6,N2O (ppb)
1765,270.9,N2O (ppb)
1770,271.2,N2O (ppb)
1775,271.5,N2O (ppb)
1780,271.8,N2O (ppb)
1785,272.1,N2O (ppb)
1790,272.4,N2O (ppb)
1795,272.7,N2O (ppb)
1800,273.0,N2O (ppb)
1805,273.24,N2O (ppb)
1810,273.48,N2O (ppb)
1815,273.72,N2O (ppb)
1820,273.96,N2O (ppb)
1825,274.2,N2O (ppb)
1830,274.44,N2O (ppb)
1835,274.68,N2O (ppb)
1840,274.92,N2O (ppb)
1845,275.16,N2O (ppb)
1850,275.4,N2O (ppb)
1855,275.9,N2O (ppb)
1860,276.4,N2O (ppb)
1865,276.9,N2O (ppb)
1870,277.4,N2O (ppb)
1875,277.8,N2O (ppb)
1880,278.2,N2O (ppb)
1885,278.7,N2O (ppb)
1890,279.1,N2O (ppb)
1895,279.5,N2O (ppb)
1900,279.8,N2O (ppb)
1905,280.3,N2O (ppb)
1910,281.0,N2O (ppb)
1915,281.8,N2O (ppb)
1920,282.9,N2O (ppb)
1925,284.0,N2O (ppb)
1930,285.0,N2O (ppb)
1935,285.9,N2O (ppb)
1940,286.7,N2O (ppb)
1945,287.8,N2O (ppb)
1950,289.0,N2O (ppb)
1955,290.1,N2O (ppb)
1960,291.4,N2O (ppb)
1965,292.9,N2O (ppb)
1970,294.9,N2O (ppb)
1975,297.4,N2O (ppb)
1978,298.82,N2O (ppb)
1979,300.04,N2O (ppb)
1980,300.65,N2O (ppb)
1981,301.23,N2O (ppb)
1982,303.56,N2O (ppb)
1983,303.78,N2O (ppb)
1984,304.02,N2O (ppb)
1985,304.54,N2O (ppb)
1986,305.37,N2O (ppb)
1987,305.55,N2O (ppb)
1988,306.49,N2O (ppb)
1989,307.48,N2O (ppb)
1990,308.78,N2O (ppb)
1991,309.57,N2O (ppb)
1992,310.0,N2O (ppb)
1993,310.25,N2O (ppb)
1994,310.98,N2O (ppb)
1995,311.78,N2O (ppb)
1996,312.81,N2O (ppb)
1997,313.53,N2O (ppb)
1998,314.2,N2O (ppb)
1999,315.15,N2O (ppb)
2000,316.14,N2O (ppb)
2001,316.36,N2O (ppb)
2002,316.94,N2O (ppb)
2003,317.63,N2O (ppb)
2004,318.26,N2O (ppb)
2005,318.91,N2O (ppb)
2006,319.82,N2O (ppb)
2007,320.44,N2O (ppb)
2008,321.50,N2O (ppb)
2009,322.27,N2O (ppb)
2010,323.19,N2O (ppb)
2011,324.21,N2O (ppb)
2012,325.05,N2O (ppb)
2013,325.94,N2O (ppb)
2014,327.09,N2O (ppb)
2015,328.17,N2O (ppb)
2016,328.95,N2O (ppb)
2017,329.74,N2O (ppb)
2018,330.90,N2O (ppb)
2019,331.88,N2O (ppb)
2020,333.03,N2O (ppb)
2021,334.31,N2O (ppb)
2022,335.65,N2O (ppb)
